threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives,business_cost
0.6900000000000001,0.8351648351648352,0.7755102040816326,0.8042328042328042,15,22,76,56849,2275
0.7000000000000001,0.8351648351648352,0.7755102040816326,0.8042328042328042,15,22,76,56849,2275
0.7100000000000001,0.8351648351648352,0.7755102040816326,0.8042328042328042,15,22,76,56849,2275
0.72,0.8351648351648352,0.7755102040816326,0.8042328042328042,15,22,76,56849,2275
0.73,0.8426966292134831,0.7653061224489796,0.8021390374331551,14,23,75,56850,2370
0.74,0.8426966292134831,0.7653061224489796,0.8021390374331551,14,23,75,56850,2370
0.75,0.8522727272727273,0.7653061224489796,0.8064516129032258,13,23,75,56851,2365
0.76,0.8522727272727273,0.7653061224489796,0.8064516129032258,13,23,75,56851,2365
0.77,0.8522727272727273,0.7653061224489796,0.8064516129032258,13,23,75,56851,2365
0.78,0.8522727272727273,0.7653061224489796,0.8064516129032258,13,23,75,56851,2365
0.79,0.8522727272727273,0.7653061224489796,0.8064516129032258,13,23,75,56851,2365
0.8,0.8522727272727273,0.7653061224489796,0.8064516129032258,13,23,75,56851,2365
0.81,0.8522727272727273,0.7653061224489796,0.8064516129032258,13,23,75,56851,2365
0.8200000000000001,0.8522727272727273,0.7653061224489796,0.8064516129032258,13,23,75,56851,2365
0.8300000000000001,0.8588235294117647,0.7448979591836735,0.7978142076502732,12,25,73,56852,2560
0.8400000000000001,0.8571428571428571,0.7346938775510204,0.7912087912087912,12,26,72,56852,2660
0.85,0.8536585365853658,0.7142857142857143,0.7777777777777778,12,28,70,56852,2860
0.86,0.8518518518518519,0.7040816326530612,0.770949720670391,12,29,69,56852,2960
0.87,0.8518518518518519,0.7040816326530612,0.770949720670391,12,29,69,56852,2960
0.88,0.8518518518518519,0.7040816326530612,0.770949720670391,12,29,69,56852,2960
0.89,0.8481012658227848,0.6836734693877551,0.7570621468926554,12,31,67,56852,3160
0.9,0.8461538461538461,0.673469387755102,0.75,12,32,66,56852,3260
0.91,0.8461538461538461,0.673469387755102,0.75,12,32,66,56852,3260
0.92,0.8552631578947368,0.6632653061224489,0.7471264367816092,11,33,65,56853,3355
0.93,0.8648648648648649,0.6530612244897959,0.7441860465116279,10,34,64,56854,3450
0.9400000000000001,0.9142857142857143,0.6530612244897959,0.7619047619047619,6,34,64,56858,3430
0.9500000000000001,0.9090909090909091,0.6122448979591837,0.7317073170731707,6,38,60,56858,3830
0.9600000000000001,0.90625,0.5918367346938775,0.7160493827160493,6,40,58,56858,4030
0.97,0.8947368421052632,0.5204081632653061,0.6580645161290323,6,47,51,56858,4730
0.98,0.9,0.45918367346938777,0.6081081081081081,5,53,45,56859,5325
0.99,0.9487179487179487,0.37755102040816324,0.5401459854014599,2,61,37,56862,6110
